state,registrationDeadlineType,dateType,edRelation,time,laws,updateLegal,updateNotes,
DistrictofColumbia,Overseas Registration Deadline,Request for Postal Ballot by,ED - 21,,,"Same, see above",,
Florida,Domestic Ballot Return Deadline,Blank,ED,7:00 PM,"In order to ensure that your vote-by-mail ballot will be counted, it should be completed and returned [...]no later than 7 p.m. on the day of the election.(101.65 (1))",Same,,
Florida,Domestic Ballot Request Deadline,Blank,ED - 10,5:00 PM,,Same,,
Florida,Domestic Ballot Request Deadline,Post Received by,ED - 10,5:00:00 PM,A request for a vote-by-mail ballot to be mailed to a voter must be received no later than 5 p.m. on the tenth day before the election by the supervisor of elections.(101.62 (2)),Same,,
Florida,Domestic Ballot Request Deadline,In-Person Received by,ED - 10,,"Terminology is ""Mail Ballot Pickup from election office"". New DateType created to accomodate.","See §101.62 - I don't think the current is correct. (1b) The supervisor may accept a written, an in-person, or a telephonic request for a vote-by-mail ballot to be mailed to an elector's address on file in the Florida Voter Registration System from the elector, or, if directly instructed by the elector, a member of the elector's immediate family, or the elector's legal guardian. (2) A request for a vote-by-mail ballot to be mailed to a voter must be received no later than 5 p.m. on the 10th day before the election by the supervisor.",,
Florida,Domestic Registration Deadline,Blank,ED - 29,,The registration books must be closed on the 29th day before each election and must remain closed until after that election.(97.055),Same,,
Florida,Early Voting From,Dates Vary: contact LEO,ED- 10,,"Early voting shall begin on the 10th day before an election that contains state or federal races and end on the 3rd day before the election, and shall be provided for no less than 8 hours and no more than 12 hours per day at each site during the applicable period. (101.657 (d)). ",Same. NOTE: FL Municipalities do no have fixed EV from and to dates. Voters must contact the election office. Depends for each.,NOTE: FL Municipalities do no have fixed EV from and to dates. Voters must contact the election office.,
Florida,Early Voting To,Dates Vary: contact LEO,ED - 3,,,Same,,
Florida,Overseas Ballot Return Deadline,Postmarked by,ED,,"If you are an overseas voter casting a ballot in a presidential preference primary or general election, your vote-by-mail ballot must be postmarked or dated no later than the date of the election and received by the supervisor of elections of the county in which you are registered to vote no later than 10 days after the date of the election. (101.65 (1))",Same,Updated 7/3/2018,
Florida,Overseas Ballot Return Deadline,Post Received by,ED + 10,,"If you are an overseas voter casting a ballot in a presidential preference primary or general election, your vote-by-mail ballot must be postmarked or dated no later than the date of the election and received by the supervisor of elections of the county in which you are registered to vote no later than 10 days after the date of the election. (101.65 (1))",Same,Updated 7/3/2018,
Florida,Overseas Ballot Return Deadline,Postmarked or Dated,ED,,"If you are an overseas voter casting a ballot in a presidential preference primary or general election, your vote-by-mail ballot must be postmarked or dated no later than the date of the election and received by the supervisor of elections of the county in which you are registered to vote no later than 10 days after the date of the election. (101.65 (1))",Same,,
Florida,Overseas Ballot Return Deadline,US based Military by,ED,7:00 PM,,Same,,
Florida,Overseas Ballot Request Deadline,Request for Postal Ballot by,ED - 10,5:00 PM,,"See §101.62 - I don't think the current is correct. (2) A request for a vote-by-mail ballot to be mailed to a voter must be received no later than 5 p.m. on the 10th day before the election by the supervisor. (4a) No later than 45 days before each presidential preference primary election, primary election, and general election, the supervisor of elections shall send a vote-by-mail ballot as provided in subparagraph (c)2. to each absent uniformed services voter and to each overseas voter who has requested a vote-by-mail ballot.",,
Florida,Overseas Ballot Request Deadline,"Request for email,online or fax ballot by",ED,,,See §101.62 - I don't think this is correct. (4c)(2)&(3),,
Florida,Overseas Registration Deadline,Postmarked by,ED - 29,,,Same,,
Georgia,Domestic Ballot Return Deadline,Blank,ED - 1,,"(a)  At any time after receiving an official absentee ballot, but before the day of the primary or election, except electors who are confined to a hospital on the day of the primary or election, the elector shall vote his or her absentee ballot, then fold the ballot and enclose and securely seal the same in the envelope on which is printed ""Official Absentee Ballot.”.(21-2-385)",Same,,
Georgia,Domestic Ballot Request Deadline,Received by,ED - 11,,Source: Secretary of State Office,See §21-2-381(a)(1)(A) - between 78 and 11 days prior.,,
Georgia,Domestic Registration Deadline,Blank,5th Monday before ED,,"(a)  If any person whose name is not on the list of registered electors maintained by the Secretary of State under this article desires to vote at any general primary, general election, or presidential preference primary, such person shall make application as provided in this article by the close of business on the fifth Monday or, if such Monday is a legal holiday, by the close of business on the following business day prior to the date of such general primary, general election, or presidential preference primary.(21-2-224)",Same,,
Georgia,Domestic Registration Deadline,Chatham County Only by,5th Monday before ED,,,"See §21-2-224(a) - If any person whose name is not on the list of registered electors maintained by the Secretary of State under this article desires to vote at any general primary, general election, or presidential preference primary, such person shall make application as provided in this article by the close of business on the fifth Monday or, if such Monday is a legal holiday, by the close of business on the following business day prior to the date of such general primary, general election, or presidential preference primary.",,
Georgia,Early Voting From,Blank,4th Monday before ED,,"""(d)  (1) There shall be a period of advance voting that shall commence:
(A)  On the fourth Monday immediately prior to each primary or election;and shall end on the Friday immediately prior to each primary, election, or runoff.(1-2-385)""",Same,,
Georgia,Early Voting To,Blank,Friday before ED,,"""(d)  (1) There shall be a period of advance voting that shall commence:
(A)  On the fourth Monday immediately prior to each primary or election;and shall end on the Friday immediately prior to each primary, election, or runoff.(1-2-385)""",Same,,
Georgia,Overseas Ballot Return Deadline,Received by,ED + 3,,"(G)  Notwithstanding any provision of this chapter to the contrary, until the United States Department of Defense notifies the Secretary of State that the Department of Defense has implemented a system of expedited absentee voting for those electors covered by this subparagraph, absentee ballots cast in a primary, election, or runoff by eligible absentee electors who reside outside the county or municipality in which the primary, election, or runoff is held and are members of the armed forces of the United States, members of the merchant marine of the United States, spouses or dependents of members of the armed forces or merchant marine residing with or accompanying such members, or overseas citizens that are postmarked by the date of such primary, election, or runoff and are received within the three-day period following such primary, election, or runoff, if proper in all other respects, shall be valid ballots and shall be counted and included in the certified election results.(21-2-386)",Same,,
Georgia,Overseas Ballot Return Deadline,Postmarked by,ED,5:00 PM,"(G)  Notwithstanding any provision of this chapter to the contrary, until the United States Department of Defense notifies the Secretary of State that the Department of Defense has implemented a system of expedited absentee voting for those electors covered by this subparagraph, absentee ballots cast in a primary, election, or runoff by eligible absentee electors who reside outside the county or municipality in which the primary, election, or runoff is held and are members of the armed forces of the United States, members of the merchant marine of the United States, spouses or dependents of members of the armed forces or merchant marine residing with or accompanying such members, or overseas citizens that are postmarked by the date of such primary, election, or runoff and are received within the three-day period following such primary, election, or runoff, if proper in all other respects, shall be valid ballots and shall be counted and included in the certified election results.(21-2-386)",Same,,
Georgia,Overseas Ballot Return Deadline,Post Received by,ED + 3,5:00 PM,,Same,,
Georgia,Overseas Ballot Request Deadline,Received by,ED - 11,5:00 PM,Source: Secretary of State Office,See §21-2-381(a)(1)(A) - between 78 and 11 days prior.,,
Georgia,Overseas Registration Deadline,Blank,4th Friday before ED,,,"Not sure where this is from, I think it's same as below.",,
Georgia,Overseas Registration Deadline,Received by,4th Friday before ED,,"(c)Mail voter registration applications shall be deemed to have been made as of the date of the postmark affixed to such application by the United States Postal Service or, if no such postmark is affixed or if the postmark affixed by the United States Postal Service is illegible or bears no date, such application shall be deemed to have been made timely if received through the United States mail by the Secretary of State no later than the close of business on the fourth Friday prior to a general primary, general election, presidential preference primary, or special primary or special election held in conjunction with a general primary, general election, or presidential preference primary or special primary or special election.(21-2-224).",Same,,
Georgia,Overseas Registration Deadline,Email or Fax by,4th Friday before ED,5:00 PM,,See above,,
Hawaii,Domestic Ballot Return Deadline,Blank,ED,,,Same,,
Hawaii,Domestic Ballot Return Deadline,Received by,ED,7:00 PM,"""(a) The return envelope shall be:
(1) Mailed and must be received by the clerk issuing the absentee ballot not later than the closing of the polls on any election day;""","Same, but see §11-104(c)(2) - To cast a valid ballot, the voter shall return the return identification envelope containing the secrecy envelope or secrecy sleeve with the marked ballot... by personal delivery at any place of deposit no later than 7:00 p.m. on the date of the election; provided that any voter who is standing in line at a place of deposit at 7:00 p.m. on the date of the election with the intent of returning a ballot and casting a vote shall be allowed to vote",,
Hawaii,Domestic Ballot Request Deadline,Blank,ED - 7,4:30 PM,(a) Any person registered to vote may request an absentee ballot or permanent absentee ballot in person or in writing from the clerk at any time but not later than 4:30 p.m. on the seventh day prior to the election.(15-4),"Same, see §15-4",,
Hawaii,Domestic Registration Deadline,Blank,ED - 30,,"(a) At 4:30 p.m. on the thirtieth day prior to each primary, special primary, or special election, but if the day is a Saturday, Sunday, or holiday then at 4:30 p.m. on the first working day immediately thereafter, the general county register shall be closed to registration for persons seeking to vote at the primary, special primary, or special election and remain closed to registration until after the election, subject to change only as provided in sections 11-21(c), 11-22, 11-25, 11-26, and this section.(11-24)",Same,,
Hawaii,Domestic Registration Deadline,Same Day Registration and Voting from,ED - 14,,,Same,,
Hawaii,Domestic Registration Deadline,Same Day Registration and Voting to,ED - 3,,,Same,,
Hawaii,Domestic Registration Deadline,In person at absentee polling place,ED - 1,,"(a) Notwithstanding the closing of the general county register pursuant to section 11-24, a person who is eligible to vote but is not registered to vote may register by appearing in person:(1) Prior to the day of the election, at any absentee polling place established pursuant to section 15-7 in the county associated with the person's residence;(11-15.2)",Same,,
Hawaii,Domestic Registration Deadline, In person at the polling place,ED,,"(a) Notwithstanding the closing of the general county register pursuant to section 11-24, a person who is eligible to vote but is not registered to vote may register by appearing in person: (2) On the day of the election, at the polling place in the precinct associated with the person's residence.(11-15.2)",Same,,
Hawaii,Early Voting From (GE),Same Day Registration and Voting from,10 business days before eleciton,,Source:  State of Hawaii website,Same,,
Hawaii,Early Voting To(GE),Same Day Registration and Voting to,ED,,Source:  State of Hawaii website,Same,,
Hawaii,Military Ballot Return Deadline,Received by,ED,6:00 PM,,Same,,
Hawaii,Military Ballot Request Deadline,Received by,ED - 7,4:30 PM,,Same,,
Hawaii,Military Registration Deadline,Received by,ED - 30,,,"Same, see §15D-6",,
Hawaii,Overseas Ballot Return Deadline,Received by,ED,7:00 PM,A valid military-overseas ballot shall be counted if it is received by the close of the polls on the day of the election and meets the requirements prescribed under section 15-9.(15D-10),Same,,
Hawaii,Overseas Ballot Request Deadline,Received by,ED - 7,4:30 PM,"-An application for a military-overseas ballot shall be timely if received by the request period prescribed under section 15-4. An application for a military-overseas ballot for a primary election, whether or not timely, shall be effective as an application for a military-overseas ballot for the general election and all subsequent elections held before December 31 of that calendar year.(15D-8)",Same,,
Hawaii,Overseas Registration Deadline,Received by,ED - 30,,"b) A covered voter may use the declaration accompanying a federal write-in absentee ballot to apply to register to vote simultaneously with the submission of the federal write-in absentee ballot, if it is received no later than thirty days prior to the election pursuant to section 11-16.(15D-6)","Same, see §15D-6",,
Idaho,In-Person Absentee Voting From,Varies by Locality,,,,Same,,
Idaho,In-Person Absentee Voting From,Blank,ED - 15,,,Same,,
Idaho,In-Person Absentee Voting To,Blank,ED - 4,5:00 PM,,Same,,
Idaho,Domestic Ballot Return Deadline,Blank,ED,8:00 PM,"The return envelope shall be mailed or delivered to the officer who issued the same; provided, that an absentee ballot must be received by the issuing officer by 8:00 p.m. on the day of election before such ballot may be counted.(34-1005)",Same,,
Idaho,Domestic Ballot Request Deadline,In-Mail Ballot / Blank,ED - 11,5:00 PM,"(7)  The application for an absent elector’s ballot shall be signed personally by the applicant. The application for a mail-in absentee ballot shall be received by the county clerk not later than 5:00 p.m. on the eleventh day before the election. An application for in-person absentee voting at the absent elector’s polling place described in section 34-1006, Idaho Code, shall be received by the county clerk not later than 5:00 p.m. on the Friday before the election.(34-1002)",Same,,
Idaho,Domestic Ballot Request Deadline,In person absentee voting,Friday before ED,5:00 PM,"(7)  The application for an absent elector’s ballot shall be signed personally by the applicant. The application for a mail-in absentee ballot shall be received by the county clerk not later than 5:00 p.m. on the eleventh day before the election. An application for in-person absentee voting at the absent elector’s polling place described in section 34-1006, Idaho Code, shall be received by the county clerk not later than 5:00 p.m. on the Friday before the election.(34-1002)",Same,,
Idaho,Domestic Registration Deadline,received by,ED - 25,5:00 PM,"(1) No elector may register in the office of the county clerk within twenty-four (24) days preceding any election held throughout the county in which he resides for the purpose of voting at such election; provided however, a legible, accurate and complete registration application received in the office of the county clerk during the twenty-four (24) day period preceding an election shall be accepted and held by the county clerk until the day following the election when registration reopens, at which time the registration shall become effective. This deadline shall also apply to any registrars the county clerk may have appointed.(34-408)",Same; applies to in person and electronic registration.,,
Idaho,Domestic Registration Deadline,Postmarked by,ED - 25,,"Any elector may register by mail for any election. Any mail registration application must be received by the county clerk prior to the close of registration as provided in section 34-408, Idaho Code, provided that any mail registration application postmarked not later than twenty-five (25) days prior to an election shall be deemed timely.(34-410)",Same,,
Idaho,Domestic Registration Deadline,Election Day Registration and Voting,ED,,,"Same, see §34-408A",,
Idaho,Early Voting From,Blank,3rd Monday before ED/ Varies by Locality,,"-(1) Those counties that utilize absentee voting facilities that have access to the Idaho statewide voter registration system and count ballots at a central location or utilize a polling location based tabulation system may elect to conduct ""early voting"" according to the provisions of this section. For those counties that elect to do ""early voting,"" early voting shall begin on or before the third Monday before the election and end at 5:00 p.m. on the Friday before the election. Primary election ballots shall be issued pursuant to section 34-1002(2), Idaho Code.(34-1012)",Same,,
Idaho,Early Voting To,Blank,Friday before ED,5:00 PM,"-(1) Those counties that utilize absentee voting facilities that have access to the Idaho statewide voter registration system and count ballots at a central location or utilize a polling location based tabulation system may elect to conduct ""early voting"" according to the provisions of this section. For those counties that elect to do ""early voting,"" early voting shall begin on or before the third Monday before the election and end at 5:00 p.m. on the Friday before the election. Primary election ballots shall be issued pursuant to section 34-1002(2), Idaho Code.(34-1012)",Same,,
Idaho,Overseas Ballot Return Deadline,Received by,ED,8:00 PM,"Whenever provision is made for absentee voting by a statute of the United States, including the ""Uniformed and Overseas Citizens Absentee Voting Act"" (42 U.S.C. 1973ff.), an application for an absentee ballot made under that law may be given the same effect as an application for an absentee ballot made under chapter 10, title 34, Idaho Code.(34-410A)",Same,,
Idaho,Overseas Ballot Request Deadline,Received by,ED - 11,5:00 PM,"Whenever provision is made for absentee voting by a statute of the United States, including the ""Uniformed and Overseas Citizens Absentee Voting Act"" (42 U.S.C. 1973ff.), an application for an absentee ballot made under that law may be given the same effect as an application for an absentee ballot made under chapter 10, title 34, Idaho Code.(34-410A)",Same,,
Idaho,Overseas Registration Deadline,Received by,ED - 25,5:00 PM,"Whenever provision is made for absentee voting by a statute of the United States, including the ""Uniformed and Overseas Citizens Absentee Voting Act"" (42 U.S.C. 1973ff.), an application for an absentee ballot made under that law may be given the same effect as an application for an absentee ballot made under chapter 10, title 34, Idaho Code.(34-410A)",Same,,
Illinois,Domestic Ballot Return Deadline,Blank,ED,,"APPLICATION FORM FOR VOTE BY MAIL BALLOT “I hereby make application for an official ballot or ballots to be voted by me at such election, and I agree that I shall return such ballot or ballots to the official issuing the same prior to the closing of the polls on the date of the election or, if returned by mail, postmarked no later than election day, for counting no later than during the period for counting provisional ballots, the last day of which is the 14th day following election day”.(Sec. 19-3)",Same,,
Illinois,Domestic Ballot Return Deadline,Postmarked by,ED,,"APPLICATION FORM FOR VOTE BY MAIL BALLOT “I hereby make application for an official ballot or ballots to be voted by me at such election, and I agree that I shall return such ballot or ballots to the official issuing the same prior to the closing of the polls on the date of the election or, if returned by mail, postmarked no later than election day, for counting no later than during the period for counting provisional ballots, the last day of which is the 14th day following election day”.(Sec. 19-3)",Same,,
Illinois,Domestic Ballot Return Deadline,Post Received by,ED + 14,,"APPLICATION FORM FOR VOTE BY MAIL BALLOT “I hereby make application for an official ballot or ballots to be voted by me at such election, and I agree that I shall return such ballot or ballots to the official issuing the same prior to the closing of the polls on the date of the election or, if returned by mail, postmarked no later than election day, for counting no later than during the period for counting provisional ballots, the last day of which is the 14th day following election day”.(Sec. 19-3)",Same,,
Illinois,Domestic Ballot Request Deadline,Blank,ED - 5,,,Same,,
Illinois,Domestic Ballot Request Deadline,Postmarked by,ED - 5,,"Any elector as defined in Section 19-1 may by mail or electronically on the website of the appropriate election authority, not more than 90 nor less than 5 days prior to the date of such election, or by personal delivery not more than 90 nor less than one day prior to the date of such election, make application to the county clerk or to the Board of Election Commissioners for an official ballot for the voter's precinct to be voted at such election.(Sec. 19-2)",Same,,
Illinois,Domestic Ballot Request Deadline,Post Received by,ED - 5,,,Same,,
Illinois,Domestic Ballot Request Deadline,In-Person Request by,ED - 1,,"Any elector as defined in Section 19-1 may by mail or electronically on the website of the appropriate election authority, not more than 90 nor less than 5 days prior to the date of such election, or by personal delivery not more than 90 nor less than one day prior to the date of such election, make application to the county clerk or to the Board of Election Commissioners for an official ballot for the voter's precinct to be voted at such election.(Sec. 19-2)",Same,,
Illinois,Domestic Ballot Request Deadline,Online by,ED - 5,,"Any elector as defined in Section 19-1 may by mail or electronically on the website of the appropriate election authority, not more than 90 nor less than 5 days prior to the date of such election, or by personal delivery not more than 90 nor less than one day prior to the date of such election, make application to the county clerk or to the Board of Election Commissioners for an official ballot for the voter's precinct to be voted at such election.(Sec. 19-2)",Same,,
Illinois,Domestic Registration Deadline,Blank,ED - 27,,"There shall be no registration at the office of the county clerk or at the office of municipal and township or road district clerks serving as deputy registrars during the 27 days preceding any regular or special election at which the cards provided in this Article are used, or until the 2nd day following such regular or special election;(Sec. 4-6.)","Same, BUT see 5/5-5... the rule is different for cities over 500,000 people... For the purpose of registering voters under this Article 5, in addition to the method provided for precinct registration under Sections 5-6 and 5-17 of this Article 5, the office of the county clerk shall be open between 9:00 a. m. and 5:00 p. m. on all days except Saturday, Sunday and holidays, but there shall be no registration at such office during the 35 days immediately preceding any election required to be held under the law but if no precinct registration is being conducted prior to any election then registration may be taken in the office of the county clerk up to and including the 28th day prior to an election. On Saturdays, the hours of registration shall be from 9:00 a. m. to 12:00 p. m. noon. During such 35 or 27 day period, registration of electors of political subdivisions wherein a regular, or special election is required to be held shall cease and shall not be resumed for the registration of electors of such political subdivisions until the second day following the day of such election. In any election called for the submission of the revision or alteration of, or the amendments to the Constitution, submitted by a Constitutional Convention, the final day for registration at the office of the election authority charged with the printing of the ballot of this election shall be the 15th day prior to the date of the election.",,
Illinois,Domestic Registration Deadline,Online by,ED - 16,,,Same,,
Illinois,Domestic Registration Deadline,Grace Period from,ED - 26,,"Notwithstanding any other provision of this Code to the contrary, each election authority shall establish procedures for the registration of voters and for change of address during the period from the close of registration for an election until and including the day of the election. During this grace period, an unregistered qualified elector may register to vote, and a registered voter may submit a change of address form, in person in the office of the election authority, at a permanent polling place established under Section 19A-10, at any other early voting site beginning 15 days prior to the election, at a polling place on election day, or at a voter registration location specifically designated for this purpose by the election authority.(Sec. 4-50)",Same,,
Illinois,Domestic Registration Deadline,Grace Period to,ED,,"Notwithstanding any other provision of this Code to the contrary, each election authority shall establish procedures for the registration of voters and for change of address during the period from the close of registration for an election until and including the day of the election. During this grace period, an unregistered qualified elector may register to vote, and a registered voter may submit a change of address form, in person in the office of the election authority, at a permanent polling place established under Section 19A-10, at any other early voting site beginning 15 days prior to the election, at a polling place on election day, or at a voter registration location specifically designated for this purpose by the election authority.(Sec. 4-50)",Same,,
Illinois,Early Voting From,At Election Authority Office Starting on,ED - 40,,"(a) The period for early voting by personal appearance begins the 40th day preceding a general primary, consolidated primary, consolidated, or general election and extends through the end of the day before election day.( Sec. 19A-15)",Same,,
Illinois,Early Voting From,At Permanent Polling Places Starting on,ED - 15 ,,No law mentioned?,"See §5/19A-15 - Except as otherwise provided by this Section, a permanent polling place for early voting must remain open beginning the 15th day before an election through the end of the day before election day during the hours of 8:30 a.m. to 4:30 p.m., or 9:00 a.m. to 5:00 p.m., on weekdays, except that beginning 8 days before election day, a permanent polling place for early voting must remain open during the hours of 8:30 a.m. to 7:00 p.m., or 9:00 a.m. to 7:00 p.m., and 9:00 a.m. to 12:00 p.m. on Saturdays and holidays, and 10:00 a.m. to 4 p.m. on Sundays; except that, in addition to the hours required by this subsection, a permanent polling place designated by an election authority under subsections (c), (d), and (e) of Section 19A-10 must remain open for a total of at least 8 hours on any holiday during the early voting period and a total of at least 14 hours on the final weekend during the early voting period.",,
Illinois,Early Voting To,Early Voting Period ends on,ED - 1,,"(a) The period for early voting by personal appearance begins the 40th day preceding a general primary, consolidated primary, consolidated, or general election and extends through the end of the day before election day.( Sec. 19A-15)",Same,,
Illinois,Military Ballot Return Deadline,Post Received by,ED + 14,,"Ballots voted under this Section must be returned postmarked no later than election day and received for counting at the central ballot counting location of the election authority during the period for counting provisional ballots, the last day of which is the 14th day following election day.(Sec. 20-2)",Same,,
Illinois,Military Ballot Return Deadline,Postmarked by,ED,,"Ballots voted under this Section must be returned postmarked no later than election day and received for counting at the central ballot counting location of the election authority during the period for counting provisional ballots, the last day of which is the 14th day following election day.(Sec. 20-2)",Same,,
Illinois,Military Ballot Return Deadline,Signed by,ED,,,Same,,
Illinois,Military Ballot Request Deadline,Received by,ED - 10,,"Any member of the United States Service, otherwise qualified to vote, who expects in the course of his duties to be absent from the county in which he resides on the day of holding any election may make application for a vote by mail ballot to the election authority having jurisdiction over his precinct of residence on the official postcard or on a form furnished by the election authority as prescribed by Section 20-3 of this Article not less than 10 days before the election.(Sec. 20-2)",Same,,
Illinois,Military Ballot Request Deadline,Signed by,ED  - 10,,,Same,,
Illinois,Military Registration Deadline,Received by,Not required acc to law,,No registration shall be required in order to vote pursuant to this Section.(Sec. 20-2),Same,,
Illinois,Overseas Ballot Return Deadline,Postmarked by,ED,,"Ballots voted under this Section must be returned postmarked no later than election day and received for counting at the central ballot counting location of the election authority during the period for counting provisional ballots, the last day of which is the 14th day following election day.(Sec. 20-2.",Same,,
Illinois,Overseas Ballot Return Deadline,Post Received by/ Received by,ED + 14,,"Ballots voted under this Section must be returned postmarked no later than election day and received for counting at the central ballot counting location of the election authority during the period for counting provisional ballots, the last day of which is the 14th day following election day.(Sec. 20-2.",Same,,
Illinois,Overseas Ballot Return Deadline,Signed by,ED,,,Same,,
Illinois,Overseas Ballot Request Deadline,Received by,ED - 10,,"-Any non-resident civilian citizen, otherwise qualified to vote, may make application to the election authority having jurisdiction over his precinct of former residence for a vote by mail ballot containing the Federal offices only not less than 10 days before a Federal election. (Sec. 20-2.2)",Same,,
Illinois,Overseas Ballot Request Deadline,Signed by,ED,,,"Agree with ED, not sure where the +3 is from.",,
Illinois,Overseas Registration Deadline,Received by,ED - 30,,"Citizens of the United States temporarily residing outside the territorial limits of the United States who are not registered but otherwise qualified to vote and who expect to be absent from their county of residence during the periods of voter registration provided for in Articles 4, 5 or 6 of this Code and on the day of holding any election, may make simultaneous application to the election authority having jurisdiction over their precinct of residence for registration by mail and vote by mail ballot not less than 30 days before the election.(Sec. 20-2.1)",Same,,
Illinois,Overseas Registration Deadline,Request for Federal Ballot Only by,ED - 10,,"Registration shall be required in order to vote pursuant to this Section. However, if the election authority receives one of such applications after 30 days but not less than 10 days before a Federal election, said applicant shall be sent a ballot containing the Federal offices only and registration for that election shall be waived. Registration shall be required in order to vote pursuant to this Section. However, if the election authority receives one of such applications after 30 days but not less than 10 days before a Federal election, said applicant shall be sent a ballot containing the Federal offices only and registration for that election shall be waived.(Sec. 20-2.1)",Same,,
Indiana,In-Person Absentee Voting From,Blank,ED - 28 / else columbus day,,"*If the close of a voter registration period is transferred under IC 3-5-4-1.5 from twenty-nine (29) days to a later date due to the Columbus Day holiday, the voter may vote before the board on the first day following the day on which the voter registration period closes.","See §3-11-10-26: (f) The voter may vote before the board not more than twenty-eight (28) days nor later than noon on the day before election day. If the close of a voter registration period is transferred under IC 3-5-4-1.5 from twenty-nine (29) days to a later date due to the Columbus Day holiday, the voter may vote before the board on the first day following the day on which the voter registration period closes.",,
Indiana,In-Person Absentee Voting To,Blank,ED - 1,12:00 PM,,See above.,,
Indiana,Domestic Ballot Return Deadline,received by,ED,6:00 PM,""" Sec. 3. A county election board must receive an absentee ballot in time for the board to deliver the ballot to the precinct election board of the voter's precinct before the closing of the polls on election day.( IC 3-11-10-3)""","See §3-11.5-4-10: Subject to IC 3-10-8-7.5, IC 3-12-1-17, and section 7 of this chapter, absentee ballots received by mail (or by fax or electronic mail under IC 3-11-4-6) after 6 p.m. on election day are considered as arriving too late and may not be counted.",,
Indiana,Domestic Ballot Request Deadline,In-Person Request by,ED - 1,12:00 PM,(2) Noon on the day before election day if the voter: (A) completes the application in the office of the circuit court clerk under IC 3-11-10-26; or (B) is an absent uniformed services voter or overseas voter who requests that the ballot be transmitted by electronic mail or fax under section 6(h) of this chapter.(IC 3-11-4-3),Same,,
Indiana,Domestic Ballot Request Deadline,Request for Postal Ballot by,ED - 12,11:59 PM," Sec. 3. (a) Except as provided in subsection (c) and section 6 of this chapter, an application for an absentee ballot must be received by the circuit court clerk (or, in a county subject to IC 3-6-5.2, the director of the board of elections and registration) not earlier than the date the registration period resumes under IC 3-7-13-10 nor later than the following: (4) 11:59 p.m. on the eighth day before election day if the application is: (A) a mailed application; (B) transmitted by electronic mail; (C) transmitted by fax; or (D) hand delivered;(IC 3-11-4-3)","See §3-11-4-3(4): (4) 11:59 p.m. twelve (12) days before election day if the application is:
(A) a mailed application;
(B) transmitted by electronic mail;
(C) transmitted by fax; or
(D) hand delivered;",,
Indiana,Domestic Registration Deadline,Blank,ED - 29,,Sec. 11. A person desiring to register or transfer a registration may do so at the office of the circuit court clerk or board of registration through the close of business on the twenty-ninth day before the election is scheduled to occur.(C 3-7-13-12),Same ,,
Indiana,Military Ballot Return Deadline,Received by,ED + 10,,,"Same, see §3-12-1-17",,
Indiana,Military Ballot Return Deadline,Postmarked by,ED,,,"Same, see §3-12-1-17",,
Indiana,Military Ballot Return Deadline,Post Received by,ED + 10,12:00 PM,,"Same, see §3-12-1-17",,
Indiana,Military Ballot Return Deadline,Email or Fax by,ED,6:00 PM,,"See §3-11.5-4-10: Subject to IC 3-10-8-7.5 and IC 3-12-1-17, absentee ballots received by mail or by fax or electronic mail under IC 3-11-4 after 6 p.m. on election day are considered as arriving too late and may not be counted.",,
Indiana,Military Ballot Return Deadline,US-based Military by,ED,11:59 PM,,"Same, see §3-12-1-17",,
Indiana,Military Ballot Request Deadline,Request for Postal Ballot by,ED - 12,,,See §3-11-4-3(4),,
Indiana,Military Ballot Request Deadline,"Request for Email,Online or Fax Ballot by",ED - 1,12:00 PM,,"See §3-11-4-3: (2) Noon on the day before election day if the voter:
(A) completes the application in the office of the circuit court clerk under IC 3-11-10-26; or
(B) is an absent uniformed services voter or overseas voter who requests that the ballot be transmitted by electronic mail or fax under section 6(h) of this chapter.",,
Indiana,Military Registration Deadline,Received by,ED -  8,,,"Same, see §3-7-36-10",,
Indiana,Overseas Ballot Return Deadline,Postmarked by,ED,,"""Sec. 3. A county election board must receive an absentee ballot in time for the board to deliver the ballot to the precinct election board of the voter's precinct before the closing of the polls on election day.( IC 3-11-10-3)""","Same, see §3-12-1-17",,
Indiana,Overseas Ballot Return Deadline,Post Received by,ED + 10,12:00 PM,,"Same, see §3-12-1-17",,
Indiana,Overseas Ballot Return Deadline,Email or Fax by,ED,6:00 PM,,"Subject to IC 3-10-8-7.5 and IC 3-12-1-17, absentee ballots received by mail or by fax or electronic mail under IC 3-11-4 after 6 p.m. on election day are considered as arriving too late and may not be counted.",,
Indiana,Overseas Ballot Request Deadline,Request for Postal Ballot by,ED - 12,11:59 PM,,See §3-11-4-3(4),,
Indiana,Overseas Ballot Request Deadline,"Request for Email,Online or Fax Ballot by",ED - 1,12:00 PM,(2) Noon on the day before election day if the voter: (A) completes the application in the office of the circuit court clerk under IC 3-11-10-26; or (B) is an absent uniformed services voter or overseas voter who requests that the ballot be transmitted by electronic mail or fax under section 6(h) of this chapter.(IC 3-11-4-3),Same,,
Indiana,Overseas Registration Deadline,Received by,ED - 8,,Sec. 10. (a) The county voter registration office shall process an absentee registration affidavit or form received from a voter described in section 1 of this chapter during the registration period or during the period beginning on the twenty-ninth day before the election and ending on the eighth day before the election.( IC 3-7-36-10),Same,,
